"","region","gene_symbol","expression","in_16p_region"
"84","ctx-lh-caudalmiddlefrontal","DOC2A",0.5093651275576,"Yes"
"85","ctx-lh-caudalmiddlefrontal","HIRIP3",0.465921231563709,"Yes"
"86","ctx-lh-caudalmiddlefrontal","TAOK2",0.462156326566078,"Yes"
"87","ctx-lh-caudalmiddlefrontal","MVP",0.566860437090674,"Yes"
"88","ctx-lh-caudalmiddlefrontal","CDIPT",0.642775431327035,"Yes"
"89","ctx-lh-caudalmiddlefrontal","RFPL3",0.518989172005782,"No"
"90","ctx-lh-caudalmiddlefrontal","CORO1A",0.51078615041392,"Yes"
"91","ctx-lh-caudalmiddlefrontal","QPRT",0.640773698557402,"Yes"
"92","ctx-lh-caudalmiddlefrontal","SEZ6L2",0.613846857337093,"No"
"93","ctx-lh-caudalmiddlefrontal","PAGR1",0.342330937419832,"No"
"94","ctx-lh-caudalmiddlefrontal","PLVAP",0.464034838880613,"No"
"95","ctx-lh-caudalmiddlefrontal","YPEL3",0.529985962249523,"Yes"
"96","ctx-lh-caudalmiddlefrontal","FAM57B",0.630604169835842,"Yes"
"97","ctx-lh-caudalmiddlefrontal","DDX60L",0.534135377525696,"No"
"98","ctx-lh-caudalmiddlefrontal","PRRT2",0.46644370557463,"Yes"
"99","ctx-lh-caudalmiddlefrontal","TMEM219",0.591014939789607,"Yes"
"100","ctx-lh-caudalmiddlefrontal","TEKT4",0.645594723948444,"No"
"101","ctx-lh-caudalmiddlefrontal","FAM122B",0.519524225558537,"No"
"102","ctx-lh-caudalmiddlefrontal","CALML6",0.466597984478416,"No"
"103","ctx-lh-caudalmiddlefrontal","KCTD13",0.412617218502364,"Yes"
"104","ctx-lh-caudalmiddlefrontal","TAS2R31",0.375323198753199,"No"
"105","ctx-lh-caudalmiddlefrontal","INO80E",0.58637448908156,"Yes"
"106","ctx-lh-caudalmiddlefrontal","KIF4B",0.455209922091886,"No"
"107","ctx-lh-caudalmiddlefrontal","HOXB-AS3",0.488033119692718,"No"
"108","ctx-lh-caudalmiddlefrontal","LOC100133091",0.425263883609314,"No"
"109","ctx-lh-caudalmiddlefrontal","PEG3-AS1",0.470900279909174,"No"
"110","ctx-lh-caudalmiddlefrontal","LOC100505915",0.425951022511436,"No"
"111","ctx-lh-caudalmiddlefrontal","MIR497HG",0.495563753639492,"No"
"112","ctx-lh-cuneus","ALDOA",0.309156909891891,"Yes"
"113","ctx-lh-cuneus","EDN3",0.473802116293767,"No"
"114","ctx-lh-cuneus","GABRE",0.227583882423271,"No"
"115","ctx-lh-cuneus","GRM7",0.403439626388621,"No"
"116","ctx-lh-cuneus","KIF22",0.422638935850962,"Yes"
"117","ctx-lh-cuneus","MAZ",0.498930047661316,"Yes"
"118","ctx-lh-cuneus","OAS3",0.584116558493174,"No"
"119","ctx-lh-cuneus","PPP4C",0.487081557657032,"Yes"
"120","ctx-lh-cuneus","MAPK3",0.120275515541108,"Yes"
"121","ctx-lh-cuneus","DOC2A",0.115445918280377,"Yes"
"122","ctx-lh-cuneus","HIRIP3",0.516303699257822,"Yes"
"123","ctx-lh-cuneus","TAOK2",0.45296563516836,"Yes"
"124","ctx-lh-cuneus","MVP",0.562296928045035,"Yes"
"125","ctx-lh-cuneus","CDIPT",0.37431485952025,"Yes"
"126","ctx-lh-cuneus","RFPL3",0.580381621963952,"No"
"127","ctx-lh-cuneus","CORO1A",0.192913343607153,"Yes"
"128","ctx-lh-cuneus","QPRT",0.255179836673145,"Yes"
"129","ctx-lh-cuneus","SEZ6L2",0.634257184802428,"No"
"130","ctx-lh-cuneus","PAGR1",0.699582668350272,"No"
"131","ctx-lh-cuneus","PLVAP",0.469181675116719,"No"
"132","ctx-lh-cuneus","YPEL3",0.638041691784699,"Yes"
"133","ctx-lh-cuneus","FAM57B",0.766306101450347,"Yes"
"134","ctx-lh-cuneus","DDX60L",0.466325032297225,"No"
"135","ctx-lh-cuneus","PRRT2",0.654473643618004,"Yes"
"136","ctx-lh-cuneus","TMEM219",0.30817288811375,"Yes"
"137","ctx-lh-cuneus","TEKT4",0.435397771851543,"No"
"138","ctx-lh-cuneus","FAM122B",0.561530725534843,"No"
"139","ctx-lh-cuneus","CALML6",0.649238800689142,"No"
"140","ctx-lh-cuneus","KCTD13",0.516722255324731,"Yes"
"141","ctx-lh-cuneus","TAS2R31",0.879218741278595,"No"
"142","ctx-lh-cuneus","INO80E",0.619802602707706,"Yes"
"143","ctx-lh-cuneus","KIF4B",0.693435402549496,"No"
"144","ctx-lh-cuneus","HOXB-AS3",0.511350421676824,"No"
"145","ctx-lh-cuneus","LOC100133091",0.62598376632478,"No"
"146","ctx-lh-cuneus","PEG3-AS1",0.694091301538627,"No"
"147","ctx-lh-cuneus","LOC100505915",0.638298551894374,"No"
"148","ctx-lh-cuneus","MIR497HG",0.534736759882918,"No"
"149","ctx-lh-entorhinal","ALDOA",0.46312137769871,"Yes"
"150","ctx-lh-entorhinal","EDN3",0.322567080770102,"No"
"151","ctx-lh-entorhinal","GABRE",0.373777422930598,"No"
"152","ctx-lh-entorhinal","GRM7",0.594807560665413,"No"
"153","ctx-lh-entorhinal","KIF22",0.561311513305602,"Yes"
"154","ctx-lh-entorhinal","MAZ",0.71022372202612,"Yes"
"155","ctx-lh-entorhinal","OAS3",0.54536268427934,"No"
"156","ctx-lh-entorhinal","PPP4C",0.637287932022611,"Yes"
"157","ctx-lh-entorhinal","MAPK3",0.845886317437635,"Yes"
"158","ctx-lh-entorhinal","DOC2A",0.618625264871583,"Yes"
"159","ctx-lh-entorhinal","HIRIP3",0.475449458042212,"Yes"
"160","ctx-lh-entorhinal","TAOK2",0.685079127848955,"Yes"
"161","ctx-lh-entorhinal","MVP",0.413587243061073,"Yes"
"162","ctx-lh-entorhinal","CDIPT",0.274000557966573,"Yes"
"163","ctx-lh-entorhinal","RFPL3",0.240090685861075,"No"
"164","ctx-lh-entorhinal","CORO1A",0.633417456745012,"Yes"
"165","ctx-lh-entorhinal","QPRT",0.663026207324194,"Yes"
"166","ctx-lh-entorhinal","SEZ6L2",0.192073848042017,"No"
"167","ctx-lh-entorhinal","PAGR1",0.379453459972016,"No"
"168","ctx-lh-entorhinal","PLVAP",0.466599099154655,"No"
"169","ctx-lh-entorhinal","YPEL3",0.304439519337079,"Yes"
"170","ctx-lh-entorhinal","FAM57B",0.474236851307924,"Yes"
"171","ctx-lh-entorhinal","DDX60L",0.702347122756663,"No"
"172","ctx-lh-entorhinal","PRRT2",0.277449872817327,"Yes"
"173","ctx-lh-entorhinal","TMEM219",0.739889222422034,"Yes"
"174","ctx-lh-entorhinal","TEKT4",0.519354333822142,"No"
"175","ctx-lh-entorhinal","FAM122B",0.499143863521244,"No"
"176","ctx-lh-entorhinal","CALML6",0.373576009164441,"No"
"177","ctx-lh-entorhinal","KCTD13",0.542397962940018,"Yes"
"178","ctx-lh-entorhinal","TAS2R31",0.273653738908097,"No"
"179","ctx-lh-entorhinal","INO80E",0.593185114186688,"Yes"
"180","ctx-lh-entorhinal","KIF4B",0.425988096464494,"No"
"181","ctx-lh-entorhinal","HOXB-AS3",0.568535161070995,"No"
"182","ctx-lh-entorhinal","LOC100133091",0.349244634296423,"No"
"183","ctx-lh-entorhinal","PEG3-AS1",0.30250555509949,"No"
"184","ctx-lh-entorhinal","LOC100505915",0.642600781419969,"No"
"185","ctx-lh-entorhinal","MIR497HG",0.600726810024582,"No"
"186","ctx-lh-fusiform","ALDOA",0.566712247887766,"Yes"
"187","ctx-lh-fusiform","EDN3",0.385747150216204,"No"
"188","ctx-lh-fusiform","GABRE",0.541654325725571,"No"
"189","ctx-lh-fusiform","GRM7",0.591832325098105,"No"
"190","ctx-lh-fusiform","KIF22",0.527942051379165,"Yes"
"191","ctx-lh-fusiform","MAZ",0.528289536703669,"Yes"
"192","ctx-lh-fusiform","OAS3",0.478424686990364,"No"
"193","ctx-lh-fusiform","PPP4C",0.435876090704219,"Yes"
"194","ctx-lh-fusiform","MAPK3",0.63971323367248,"Yes"
"195","ctx-lh-fusiform","DOC2A",0.708451780537078,"Yes"
"196","ctx-lh-fusiform","HIRIP3",0.464615613758142,"Yes"
"197","ctx-lh-fusiform","TAOK2",0.516661159669579,"Yes"
"198","ctx-lh-fusiform","MVP",0.455391892177869,"Yes"
"199","ctx-lh-fusiform","CDIPT",0.561166161724353,"Yes"
"200","ctx-lh-fusiform","RFPL3",0.485281846906126,"No"
"201","ctx-lh-fusiform","CORO1A",0.610768114517107,"Yes"
"202","ctx-lh-fusiform","QPRT",0.495321844896897,"Yes"
"203","ctx-lh-fusiform","SEZ6L2",0.501322496834906,"No"
"204","ctx-lh-fusiform","PAGR1",0.509248787603485,"No"
"205","ctx-lh-fusiform","PLVAP",0.472909864859082,"No"
"206","ctx-lh-fusiform","YPEL3",0.530722659520722,"Yes"
"207","ctx-lh-fusiform","FAM57B",0.410030013454663,"Yes"
"208","ctx-lh-fusiform","DDX60L",0.499939284397769,"No"
"209","ctx-lh-fusiform","PRRT2",0.58613997522885,"Yes"
"210","ctx-lh-fusiform","TMEM219",0.526390368581672,"Yes"
"211","ctx-lh-fusiform","TEKT4",0.552942489240317,"No"
"212","ctx-lh-fusiform","FAM122B",0.5198252726777,"No"
"213","ctx-lh-fusiform","CALML6",0.442386934126107,"No"
"214","ctx-lh-fusiform","KCTD13",0.51177554299258,"Yes"
"215","ctx-lh-fusiform","TAS2R31",0.456030704185371,"No"
"216","ctx-lh-fusiform","INO80E",0.477493886708668,"Yes"
"217","ctx-lh-fusiform","KIF4B",0.456798176845527,"No"
"218","ctx-lh-fusiform","HOXB-AS3",0.460815074980664,"No"
"219","ctx-lh-fusiform","LOC100133091",0.533267839747521,"No"
"220","ctx-lh-fusiform","PEG3-AS1",0.519343478043093,"No"
"221","ctx-lh-fusiform","LOC100505915",0.456142748228494,"No"
"222","ctx-lh-fusiform","MIR497HG",0.542014337189563,"No"
"223","ctx-lh-inferiorparietal","ALDOA",0.414676389891842,"Yes"
"224","ctx-lh-inferiorparietal","EDN3",0.484078641168436,"No"
"225","ctx-lh-inferiorparietal","GABRE",0.486067453257661,"No"
"226","ctx-lh-inferiorparietal","GRM7",0.510362560117684,"No"
"227","ctx-lh-inferiorparietal","KIF22",0.434262877836329,"Yes"
"228","ctx-lh-inferiorparietal","MAZ",0.555986478650484,"Yes"
"229","ctx-lh-inferiorparietal","OAS3",0.482458848872029,"No"
"230","ctx-lh-inferiorparietal","PPP4C",0.453424534563106,"Yes"
"231","ctx-lh-inferiorparietal","MAPK3",0.474649070864099,"Yes"
"232","ctx-lh-inferiorparietal","DOC2A",0.47086143591729,"Yes"
