"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"68","KNTC1","",-0.524676488042098,0.00193,"hLCL","Talkowski et al. 2014","","No"
"69","RBM41","",-0.426694491874157,0.00194,"hLCL","Talkowski et al. 2014","","No"
"70","HNRNPUL2","",-0.249104990150082,0.00198,"hLCL","Talkowski et al. 2014","","No"
"71","INVS","",-0.369979555793524,0.00198,"hLCL","Talkowski et al. 2014","","No"
"72","EDA2R","",-0.544615645170883,0.00198,"hLCL","Talkowski et al. 2014","","No"
"73","OMA1","",-0.452821353909915,0.00208,"hLCL","Talkowski et al. 2014","","No"
"74","CARD8","",-0.452668489533776,0.00211,"hLCL","Talkowski et al. 2014","","No"
"75","ZNF761","",-0.420123740835023,0.00217,"hLCL","Talkowski et al. 2014","","No"
"76","CHCHD6","",0.533326175569488,0.00225,"hLCL","Talkowski et al. 2014","","No"
"77","FOXM1","",-0.499616181128654,0.0023,"hLCL","Talkowski et al. 2014","","No"
"78","KIF15","",-0.635219294552345,0.00232,"hLCL","Talkowski et al. 2014","","No"
"79","TMEM79","",-0.431869219235722,0.00234,"hLCL","Talkowski et al. 2014","","No"
"80","ALG8","",-0.312916916905687,0.00242,"hLCL","Talkowski et al. 2014","","No"
"81","C12orf32","",-0.248176572868305,0.00242,"hLCL","Talkowski et al. 2014","","No"
"82","TTC13","",-0.330595372280842,0.00244,"hLCL","Talkowski et al. 2014","","No"
"83","FANCM","",-0.450687802346876,0.0025,"hLCL","Talkowski et al. 2014","","No"
"84","CNTRL","",-0.477734936599684,0.002554,"hLCL","Talkowski et al. 2014","","No"
"85","KHDC1","",-0.580659643455709,0.00258,"hLCL","Talkowski et al. 2014","","No"
"86","FAM120A","",-0.393045966981672,0.002612,"hLCL","Talkowski et al. 2014","","No"
"87","TRA2A","",-0.272353020099542,0.00264,"hLCL","Talkowski et al. 2014","","No"
"88","C17orf57","",-0.732518617279583,0.00268,"hLCL","Talkowski et al. 2014","","No"
"89","ACIN1","",-0.223274049172594,0.00274,"hLCL","Talkowski et al. 2014","","No"
"90","THOC1","",-0.392849038330455,0.00274,"hLCL","Talkowski et al. 2014","","No"
"91","CLK2","",-0.480610553117134,0.00275,"hLCL","Talkowski et al. 2014","","No"
"92","TFAP4","",-0.53125941356566,0.00278,"hLCL","Talkowski et al. 2014","","No"
"93","OTUD3","",-0.334453847519177,0.0028,"hLCL","Talkowski et al. 2014","","No"
"94","LOC100192204","",-1.07448721620692,0.00281,"hLCL","Talkowski et al. 2014","","No"
"95","L2HGDH","",-0.337730795257209,0.00281,"hLCL","Talkowski et al. 2014","","No"
"96","ZNF519","",-0.465347838466141,0.00284,"hLCL","Talkowski et al. 2014","","No"
"97","AARS2","",-0.281600924012174,0.00293,"hLCL","Talkowski et al. 2014","","No"
"98","DPAGT1","",-0.447312253166022,0.00301,"hLCL","Talkowski et al. 2014","","No"
"99","HERC2P2","",-0.570504529364025,0.00303,"hLCL","Talkowski et al. 2014","","No"
"100","DAZAP1","",-0.264737141197564,0.00303,"hLCL","Talkowski et al. 2014","","No"
"101","ANAPC4","",-0.444718341734993,0.00308,"hLCL","Talkowski et al. 2014","","No"
"102","YTHDC2","",-0.33103586696178,0.00316,"hLCL","Talkowski et al. 2014","","No"
"103","TPP2","",-0.471113278963861,0.00325,"hLCL","Talkowski et al. 2014","","No"
"104","RGS10","",0.518020889963621,0.00329,"hLCL","Talkowski et al. 2014","","No"
"105","IFT80","",-0.552692708457212,0.00331,"hLCL","Talkowski et al. 2014","","No"
"106","MVP","",-0.642842020627878,0.00336,"hLCL","Talkowski et al. 2014","","Yes"
"107","FBXL15","",0.436767350913914,0.003439,"hLCL","Talkowski et al. 2014","","No"
"108","PRIM2","",-0.388901791971675,0.00363,"hLCL","Talkowski et al. 2014","","No"
"109","ZNF638","",-0.38143651800728,0.00364,"hLCL","Talkowski et al. 2014","","No"
"110","ASUN","",-0.379400552335551,0.0037,"hLCL","Talkowski et al. 2014","","No"
"111","KIF18B","",-0.471493019261636,0.00371,"hLCL","Talkowski et al. 2014","","No"
"112","PTPN7","",-0.334762155070525,0.00372,"hLCL","Talkowski et al. 2014","","No"
"113","TONSL","",-0.560897079564806,0.00373,"hLCL","Talkowski et al. 2014","","No"
"114","HMGN2P46","",-0.773732257590278,0.00376,"hLCL","Talkowski et al. 2014","","No"
"115","HERC2","",-0.374099394880393,0.00377,"hLCL","Talkowski et al. 2014","","No"
"116","LOC606724","",-0.694600442925573,0.00378,"hLCL","Talkowski et al. 2014","","No"
"117","FMR1","",-0.45417291125365,0.0038,"hLCL","Talkowski et al. 2014","","No"
"118","SKA3","",-0.597764342223988,0.0039,"hLCL","Talkowski et al. 2014","","No"
"119","LYRM7","",-0.524658724144846,0.00393,"hLCL","Talkowski et al. 2014","","No"
"120","WNT4","",1.65334261269572,0.00407,"hLCL","Talkowski et al. 2014","","No"
"121","HSPB11","",-0.407300624193545,0.0041,"hLCL","Talkowski et al. 2014","","No"
"122","RBM26","",-0.34328112422432,0.0041,"hLCL","Talkowski et al. 2014","","No"
"123","CABLES2","",-0.359643846994104,0.0041,"hLCL","Talkowski et al. 2014","","No"
"124","R3HDM1","",-0.352918245298025,0.00417,"hLCL","Talkowski et al. 2014","","No"
"125","POLE2","",-0.51213440753763,0.0043,"hLCL","Talkowski et al. 2014","","No"
"126","TAF15","",-0.262306261759747,0.0043,"hLCL","Talkowski et al. 2014","","No"
"127","C10orf137","",-0.575873576786061,0.00431,"hLCL","Talkowski et al. 2014","","No"
"128","CHORDC1","",-0.664471581977186,0.00432,"hLCL","Talkowski et al. 2014","","No"
"129","LOC100288637","",-0.547985637724318,0.00432,"hLCL","Talkowski et al. 2014","","No"
"130","ZNHIT6","",-0.303304678693323,0.00437,"hLCL","Talkowski et al. 2014","","No"
"131","CCDC66","",-0.343879697183978,0.0045,"hLCL","Talkowski et al. 2014","","No"
