"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"299","LIN7C","",-0.352363062842784,0.0128,"hLCL","Talkowski et al. 2014","","No"
"300","SPAG5","",-0.424663991879659,0.0128,"hLCL","Talkowski et al. 2014","","No"
"301","IGFLR1","",0.583572552595175,0.0128,"hLCL","Talkowski et al. 2014","","No"
"302","BAZ1B","",-0.224912714838258,0.0128,"hLCL","Talkowski et al. 2014","","No"
"303","DLEU2L","",-0.493864042214493,0.0129,"hLCL","Talkowski et al. 2014","","No"
"304","KCNJ10","",-0.747141845901149,0.0129,"hLCL","Talkowski et al. 2014","","No"
"305","C11orf82","",-0.6374651343456,0.0129,"hLCL","Talkowski et al. 2014","","No"
"306","RIC8B","",-0.25166191314331,0.0129,"hLCL","Talkowski et al. 2014","","No"
"307","DAPK3","",0.288521842996206,0.013,"hLCL","Talkowski et al. 2014","","No"
"308","RBBP4","",-0.275943413121166,0.0131,"hLCL","Talkowski et al. 2014","","No"
"309","LRRC40","",-0.360331700245897,0.0131,"hLCL","Talkowski et al. 2014","","No"
"310","CACYBP","",-0.399806507691517,0.0131,"hLCL","Talkowski et al. 2014","","No"
"311","DYNC1LI2","",-0.236877486433123,0.0131,"hLCL","Talkowski et al. 2014","","No"
"312","LUC7L2","",-0.175936445146447,0.013264998,"hLCL","Talkowski et al. 2014","","No"
"313","SYNCRIP","",-0.292068327532565,0.0133,"hLCL","Talkowski et al. 2014","","No"
"314","TRIP10","",0.553342160592436,0.013385668,"hLCL","Talkowski et al. 2014","","No"
"315","GIGYF2","",-0.245439084012294,0.0134,"hLCL","Talkowski et al. 2014","","No"
"316","UBXN1","",0.277935953041027,0.013442791,"hLCL","Talkowski et al. 2014","","No"
"317","HP1BP3","",-0.346193169373956,0.0136,"hLCL","Talkowski et al. 2014","","No"
"318","DOHH","",0.171344693020035,0.0137,"hLCL","Talkowski et al. 2014","","No"
"319","PCNT","",-0.379661371530137,0.0137,"hLCL","Talkowski et al. 2014","","No"
"320","RBM28","",-0.265021931368966,0.0137,"hLCL","Talkowski et al. 2014","","No"
"321","COIL","",-0.237021185056558,0.013753639,"hLCL","Talkowski et al. 2014","","No"
"322","MTRF1","",-0.299331420217544,0.0138,"hLCL","Talkowski et al. 2014","","No"
"323","ARL17A","",-0.669181812053447,0.0138,"hLCL","Talkowski et al. 2014","","No"
"324","XRCC3","",-0.501348532531887,0.0139,"hLCL","Talkowski et al. 2014","","No"
"325","NOM1","",-0.236887532527869,0.0139,"hLCL","Talkowski et al. 2014","","No"
"326","CD40","",0.511322232165526,0.013946281,"hLCL","Talkowski et al. 2014","","No"
"327","MTA1","",-0.221713792714184,0.014050582,"hLCL","Talkowski et al. 2014","","No"
"328","YEATS2","",-0.489138795488443,0.0141,"hLCL","Talkowski et al. 2014","","No"
"329","LOC731275","",-0.559203844652649,0.0142,"hLCL","Talkowski et al. 2014","","No"
"330","KIF23","",-0.390802097497777,0.0142,"hLCL","Talkowski et al. 2014","","No"
"331","ARID5A","",0.428136242757601,0.0142,"hLCL","Talkowski et al. 2014","","No"
"332","BIVM","",-0.361516318584649,0.014234875,"hLCL","Talkowski et al. 2014","","No"
"333","VAMP2","",0.355602702630193,0.014265622,"hLCL","Talkowski et al. 2014","","No"
"334","MELK","",-0.448341937120135,0.014365767,"hLCL","Talkowski et al. 2014","","No"
"335","DHFR","",-0.584172038194612,0.014428858,"hLCL","Talkowski et al. 2014","","No"
"336","OPTN","",0.473041384582633,0.0145,"hLCL","Talkowski et al. 2014","","No"
"337","LOC100507032","",-0.641303873197457,0.0145,"hLCL","Talkowski et al. 2014","","No"
"338","NUP210","",-0.39029550845615,0.014542172,"hLCL","Talkowski et al. 2014","","No"
"339","CKB","",1.24522565947938,0.014597018,"hLCL","Talkowski et al. 2014","","No"
"340","LRRC37BP1","",-0.246802460384922,0.014624307,"hLCL","Talkowski et al. 2014","","No"
"341","CHEK2","",-0.420901587593967,0.0147,"hLCL","Talkowski et al. 2014","","No"
"342","LOC100507462","",-0.907347614592106,0.0147,"hLCL","Talkowski et al. 2014","","No"
"343","TTK","",-0.475633606730929,0.01493441,"hLCL","Talkowski et al. 2014","","No"
"344","SMARCC2","",-0.316272408067374,0.01496585,"hLCL","Talkowski et al. 2014","","No"
"345","SLC25A15","",-0.448345071000732,0.0152,"hLCL","Talkowski et al. 2014","","No"
"346","DDX46","",-0.314055819636174,0.01520253,"hLCL","Talkowski et al. 2014","","No"
"347","GIT1","",-0.333857562551624,0.015235597,"hLCL","Talkowski et al. 2014","","No"
"348","KIAA1009","",-0.298556950106217,0.015248796,"hLCL","Talkowski et al. 2014","","No"
"349","S100PBP","",-0.411511580906317,0.015308692,"hLCL","Talkowski et al. 2014","","No"
"350","LOC100128881","",-0.436404153491149,0.015401651,"hLCL","Talkowski et al. 2014","","No"
"351","SCAI","",-0.339225964447254,0.015404752,"hLCL","Talkowski et al. 2014","","No"
"352","PARPBP","",-0.524498325579723,0.015409246,"hLCL","Talkowski et al. 2014","","No"
"353","NASP","",-0.303828612746003,0.015506233,"hLCL","Talkowski et al. 2014","","No"
"354","HNRNPA3","",-0.308729414081795,0.015553984,"hLCL","Talkowski et al. 2014","","No"
"355","DBF4","",-0.261737775589352,0.015598269,"hLCL","Talkowski et al. 2014","","No"
"356","SUDS3","",-0.232085094373104,0.015599676,"hLCL","Talkowski et al. 2014","","No"
"357","RMI2","",-0.519526166613534,0.0156,"hLCL","Talkowski et al. 2014","","No"
"358","ANLN","",-0.613987343451726,0.0156,"hLCL","Talkowski et al. 2014","","No"
"359","IFT122","",-0.322107669297742,0.015621767,"hLCL","Talkowski et al. 2014","","No"
"360","WDR92","",-0.420393215210655,0.015761821,"hLCL","Talkowski et al. 2014","","No"
"361","C1orf112","",-0.471700967630065,0.0158,"hLCL","Talkowski et al. 2014","","No"
"362","PI4KA","",-0.237928783461123,0.0158,"hLCL","Talkowski et al. 2014","","No"
"363","CEP152","",-0.574239546084682,0.015962253,"hLCL","Talkowski et al. 2014","","No"
"364","KIF18A","",-0.444375329775825,0.016018072,"hLCL","Talkowski et al. 2014","","No"
"365","SKP2","",-0.394049006685623,0.0161,"hLCL","Talkowski et al. 2014","","No"
"366","SAMD1","",-0.386456343532094,0.0162,"hLCL","Talkowski et al. 2014","","No"
"367","C14orf167","",-0.389635250842493,0.016206966,"hLCL","Talkowski et al. 2014","","No"
"368","NADKD1","",-0.49924481133288,0.01621074,"hLCL","Talkowski et al. 2014","","No"
"369","ZNF654","",-0.540307773386884,0.016313887,"hLCL","Talkowski et al. 2014","","No"
"370","LINC00547","",-0.763340215629326,0.016352327,"hLCL","Talkowski et al. 2014","","No"
"371","EME2","",-0.331902921750729,0.016391742,"hLCL","Talkowski et al. 2014","","No"
"372","PHIP","",-0.245420553595323,0.016411488,"hLCL","Talkowski et al. 2014","","No"
"373","FANCG","",-0.344315805409985,0.016411599,"hLCL","Talkowski et al. 2014","","No"
"374","ALDH5A1","",-0.639295533653747,0.016427532,"hLCL","Talkowski et al. 2014","","No"
"375","EXOSC2","",-0.205415185081446,0.016483516,"hLCL","Talkowski et al. 2014","","No"
"376","NACA2","",-0.93727862194715,0.016485194,"hLCL","Talkowski et al. 2014","","No"
"377","TRIM59","",-0.408561921039113,0.0165,"hLCL","Talkowski et al. 2014","","No"
"378","RPGRIP1L","",-0.555282637933182,0.016576875,"hLCL","Talkowski et al. 2014","","No"
"379","LOC100133315","",-0.291443590786087,0.016614325,"hLCL","Talkowski et al. 2014","","No"
"380","UBAP2L","",-0.223646712176096,0.016670055,"hLCL","Talkowski et al. 2014","","No"
"381","CSTF3","",-0.297097069512383,0.016698521,"hLCL","Talkowski et al. 2014","","No"
"382","TRIM36","",1.02218110324688,0.016783361,"hLCL","Talkowski et al. 2014","","No"
"383","SNX27","",-0.301244631476635,0.016985138,"hLCL","Talkowski et al. 2014","","No"
"384","RBM27","",-0.295346957670601,0.017050644,"hLCL","Talkowski et al. 2014","","No"
"385","UBR7","",-0.30561377250129,0.017079946,"hLCL","Talkowski et al. 2014","","No"
"386","PCYOX1L","",-0.353017461339851,0.017133642,"hLCL","Talkowski et al. 2014","","No"
"387","VDAC2","",0.21017089379317,0.017169136,"hLCL","Talkowski et al. 2014","","No"
"388","ADAM22","",-0.622233228246288,0.017185276,"hLCL","Talkowski et al. 2014","","No"
"389","HELLS","",-0.459271433919131,0.017211704,"hLCL","Talkowski et al. 2014","","No"
"390","DNAJB4","",-0.467787824283416,0.017274667,"hLCL","Talkowski et al. 2014","","No"
"391","C9orf82","",-0.314749509361123,0.017297517,"hLCL","Talkowski et al. 2014","","No"
"392","XPO7","",-0.318952323525831,0.017303533,"hLCL","Talkowski et al. 2014","","No"
"393","FCER1G","",1.10241021575535,0.017426545,"hLCL","Talkowski et al. 2014","","No"
"394","HMGN2","",-0.404411059740477,0.017450607,"hLCL","Talkowski et al. 2014","","No"
"395","ZNF525","",-0.447662955024933,0.017476962,"hLCL","Talkowski et al. 2014","","No"
"396","C7orf49","",-0.224731589868508,0.017531269,"hLCL","Talkowski et al. 2014","","No"
"397","ZNF628","",0.41932456284128,0.017588451,"hLCL","Talkowski et al. 2014","","No"
"398","SKA1","",-0.4676683569245,0.017608142,"hLCL","Talkowski et al. 2014","","No"
"399","PLK4","",-0.46694797171408,0.017680264,"hLCL","Talkowski et al. 2014","","No"
"400","CEP192","",-0.382851612274892,0.017684887,"hLCL","Talkowski et al. 2014","","No"
"401","CKAP2","",-0.422691789333023,0.017706237,"hLCL","Talkowski et al. 2014","","No"
"402","NUFIP1","",-0.189787240651586,0.017715148,"hLCL","Talkowski et al. 2014","","No"
"403","TPX2","",-0.3354013536456,0.017732346,"hLCL","Talkowski et al. 2014","","No"
"404","RNASEK-C17ORF49","",0.246754817777381,0.017750279,"hLCL","Talkowski et al. 2014","","No"
"405","FAM101B","",0.821374268359983,0.017797888,"hLCL","Talkowski et al. 2014","","No"
"406","ALG6","",-0.287200014415123,0.017947678,"hLCL","Talkowski et al. 2014","","No"
"407","RNASEK","",0.347418810186946,0.018015171,"hLCL","Talkowski et al. 2014","","No"
"408","CX3CL1","",1.32767459138277,0.018090557,"hLCL","Talkowski et al. 2014","","No"
"409","MRPS25","",-0.30706907861048,0.01816868,"hLCL","Talkowski et al. 2014","","No"
"410","ARSK","",-0.437562729293448,0.018225758,"hLCL","Talkowski et al. 2014","","No"
"411","DEGS1","",-0.245797615330975,0.018505192,"hLCL","Talkowski et al. 2014","","No"
"412","1/2-SBSRNA4","",-0.621625998660747,0.0185146,"hLCL","Talkowski et al. 2014","","No"
"413","PRRT2","",-1.52913335780807,0.018525977,"hLCL","Talkowski et al. 2014","","Yes"
"414","R3HCC1","",0.232342206482988,0.018582806,"hLCL","Talkowski et al. 2014","","No"
"415","KIF11","",-0.430674335538812,0.018664979,"hLCL","Talkowski et al. 2014","","No"
"416","CLDN15","",-0.309506083169576,0.018742443,"hLCL","Talkowski et al. 2014","","No"
"417","MTBP","",-0.399688391812323,0.018785222,"hLCL","Talkowski et al. 2014","","No"
"418","SNTB2","",-0.28028576292757,0.01879503,"hLCL","Talkowski et al. 2014","","No"
"419","HAUS5","",-0.338684924750325,0.01898473,"hLCL","Talkowski et al. 2014","","No"
"420","GIT2","",-0.239329113581288,0.019050729,"hLCL","Talkowski et al. 2014","","No"
"421","LOC388499","",-0.570926637216889,0.019154758,"hLCL","Talkowski et al. 2014","","No"
"422","DNA2","",-0.517626987467804,0.019182652,"hLCL","Talkowski et al. 2014","","No"
"423","FAR1","",-0.311217843683826,0.019350875,"hLCL","Talkowski et al. 2014","","No"
"424","TPI1P3","",-0.578222004485458,0.019412382,"hLCL","Talkowski et al. 2014","","No"
"425","HEATR5B","",-0.33609102219323,0.019628647,"hLCL","Talkowski et al. 2014","","No"
"426","SLC25A45","",-0.468321688653235,0.019784545,"hLCL","Talkowski et al. 2014","","No"
"427","DHX33","",-0.292002142771252,0.01982139,"hLCL","Talkowski et al. 2014","","No"
"428","SPTBN2","",-1.50893650498428,0.019938812,"hLCL","Talkowski et al. 2014","","No"
"429","SPDYE6","",-0.675014012382722,0.02,"hLCL","Talkowski et al. 2014","","No"
"430","PAICS","",-0.363135670840048,0.020033204,"hLCL","Talkowski et al. 2014","","No"
"431","LOC440173","",-0.587549201570182,0.020082056,"hLCL","Talkowski et al. 2014","","No"
"432","KIAA1143","",-0.280201459770308,0.020153034,"hLCL","Talkowski et al. 2014","","No"
"433","USP21","",-0.25269520693995,0.020178169,"hLCL","Talkowski et al. 2014","","No"
"434","C1orf27","",-0.279329243359098,0.020198639,"hLCL","Talkowski et al. 2014","","No"
"435","CILP2","",1.58801179262986,0.02021978,"hLCL","Talkowski et al. 2014","","No"
"436","PWWP2A","",-0.243044677856966,0.020257438,"hLCL","Talkowski et al. 2014","","No"
"437","ADIPOQ","",-0.774584290203092,0.020428016,"hLCL","Talkowski et al. 2014","","No"
"438","RBM14","",-0.354763854188916,0.020441807,"hLCL","Talkowski et al. 2014","","No"
"439","METTL17","",-0.224009159037739,0.020443861,"hLCL","Talkowski et al. 2014","","No"
"440","EIF5AL1","",-0.448239119296966,0.02045097,"hLCL","Talkowski et al. 2014","","No"
"441","FAM48A","",-0.26454751045618,0.020587923,"hLCL","Talkowski et al. 2014","","No"
"442","UBA6","",-0.375189194223946,0.020634921,"hLCL","Talkowski et al. 2014","","No"
"443","RNF13","",-0.321312177564056,0.020639289,"hLCL","Talkowski et al. 2014","","No"
"444","NDC80","",-0.382771221515943,0.020646417,"hLCL","Talkowski et al. 2014","","No"
"445","C22orf32","",0.307639282005098,0.020734852,"hLCL","Talkowski et al. 2014","","No"
"446","CIT","",-0.429894833694499,0.020750111,"hLCL","Talkowski et al. 2014","","No"
"447","TCOF1","",-0.40145293127407,0.020764912,"hLCL","Talkowski et al. 2014","","No"
"448","GPATCH3","",0.226890269429685,0.02096137,"hLCL","Talkowski et al. 2014","","No"
"449","TBC1D9B","",-0.242976804712483,0.020980541,"hLCL","Talkowski et al. 2014","","No"
"450","ETAA1","",-0.325144337298288,0.020995417,"hLCL","Talkowski et al. 2014","","No"
"451","USP33","",-0.268536009480547,0.02102727,"hLCL","Talkowski et al. 2014","","No"
"452","LOC387646","",-0.628080775710617,0.021084337,"hLCL","Talkowski et al. 2014","","No"
"453","UBAP1","",0.174740488076442,0.021107043,"hLCL","Talkowski et al. 2014","","No"
"454","MRE11A","",-0.42184671503041,0.021119789,"hLCL","Talkowski et al. 2014","","No"
"455","SGOL2","",-0.591842342456714,0.021166404,"hLCL","Talkowski et al. 2014","","No"
"456","TMED1","",0.348396057814926,0.02118148,"hLCL","Talkowski et al. 2014","","No"
"457","CTF1","",0.807909835769558,0.021230736,"hLCL","Talkowski et al. 2014","","No"
"458","BOLA2","",-0.435019431184252,0.021278906,"hLCL","Talkowski et al. 2014","","No"
"459","LRRCC1","",-0.538141250973238,0.021278942,"hLCL","Talkowski et al. 2014","","No"
"460","TMEM198B","",-0.493398983928714,0.021329312,"hLCL","Talkowski et al. 2014","","No"
"461","CDC45","",-0.504858506714761,0.021427802,"hLCL","Talkowski et al. 2014","","No"
"462","COMMD5","",0.258628787257934,0.021565919,"hLCL","Talkowski et al. 2014","","No"
"463","RAD51AP1","",-0.459499507151411,0.021602258,"hLCL","Talkowski et al. 2014","","No"
"464","WDR41","",-0.350983531541535,0.021612085,"hLCL","Talkowski et al. 2014","","No"
"465","ARHGAP11B","",-0.426475664045402,0.021614468,"hLCL","Talkowski et al. 2014","","No"
"466","CCP110","",-0.478999962404864,0.021639344,"hLCL","Talkowski et al. 2014","","No"
"467","HAUS1","",-0.244125225259095,0.021716649,"hLCL","Talkowski et al. 2014","","No"
"468","HAUS3","",-0.301520974573156,0.021741494,"hLCL","Talkowski et al. 2014","","No"
"469","UNK","",-0.172487696503452,0.021749353,"hLCL","Talkowski et al. 2014","","No"
"470","TMEM143","",-0.473442496049377,0.021871877,"hLCL","Talkowski et al. 2014","","No"
"471","BANP","",-0.252250966003667,0.022023019,"hLCL","Talkowski et al. 2014","","No"
"472","IPO9","",-0.208106381764178,0.022050466,"hLCL","Talkowski et al. 2014","","No"
"473","HMGN1","",-0.236484764285218,0.022084507,"hLCL","Talkowski et al. 2014","","No"
"474","TIA1","",-0.369711911632462,0.022205123,"hLCL","Talkowski et al. 2014","","No"
"475","PPP6R3","",-0.1776893031484,0.022240055,"hLCL","Talkowski et al. 2014","","No"
"476","LOC340544","",-0.529627014588924,0.022294421,"hLCL","Talkowski et al. 2014","","No"
"477","TIMELESS","",-0.438679408980728,0.022323462,"hLCL","Talkowski et al. 2014","","No"
"478","MEN1","",-0.224793479684047,0.022340065,"hLCL","Talkowski et al. 2014","","No"
"479","ING2","",-0.452220482379467,0.022352253,"hLCL","Talkowski et al. 2014","","No"
"480","SETD4","",-0.227234947265361,0.022356164,"hLCL","Talkowski et al. 2014","","No"
"481","MAMDC4","",-0.5165626993774,0.022428195,"hLCL","Talkowski et al. 2014","","No"
"482","ADAM1","",-0.579654352514021,0.022429694,"hLCL","Talkowski et al. 2014","","No"
"483","BOLA2B","",-0.435019431184252,0.022468216,"hLCL","Talkowski et al. 2014","","No"
"484","PIEZO1","",-0.359791486277775,0.02247191,"hLCL","Talkowski et al. 2014","","No"
"485","PIK3R6","",-0.501204581874953,0.022606533,"hLCL","Talkowski et al. 2014","","No"
"486","KAT6B","",-0.309527287913615,0.022714302,"hLCL","Talkowski et al. 2014","","No"
"487","ANKRD32","",-0.531543752097577,0.02273721,"hLCL","Talkowski et al. 2014","","No"
"488","HJURP","",-0.413782123808739,0.022756151,"hLCL","Talkowski et al. 2014","","No"
"489","HSP90AB2P","",-0.359985468149161,0.022842927,"hLCL","Talkowski et al. 2014","","No"
"490","LRRC14","",-0.215260206585769,0.022906884,"hLCL","Talkowski et al. 2014","","No"
"491","LIN54","",-0.396628477191663,0.022977023,"hLCL","Talkowski et al. 2014","","No"
"492","FOXRED1","",-0.368419369242728,0.023128777,"hLCL","Talkowski et al. 2014","","No"
"493","VPS8","",-0.260668037313725,0.023184453,"hLCL","Talkowski et al. 2014","","No"
"494","USP28","",-0.428180440900534,0.023226688,"hLCL","Talkowski et al. 2014","","No"
"495","PPP6R1","",-0.233331354069368,0.023287828,"hLCL","Talkowski et al. 2014","","No"
"496","OSBPL7","",-0.351122077872288,0.023309485,"hLCL","Talkowski et al. 2014","","No"
"497","RANBP1","",-0.334909568012295,0.0233523,"hLCL","Talkowski et al. 2014","","No"
"498","MSH4","",-0.992165237803404,0.023385301,"hLCL","Talkowski et al. 2014","","No"
"499","UBE2O","",-0.207832893622967,0.023441163,"hLCL","Talkowski et al. 2014","","No"
"500","RBM25","",-0.286142149693818,0.023441218,"hLCL","Talkowski et al. 2014","","No"
"501","CLASP1","",-0.294555852258989,0.023490695,"hLCL","Talkowski et al. 2014","","No"
"502","LOC100527964","",-0.633904914679007,0.023530817,"hLCL","Talkowski et al. 2014","","No"
"503","NAP1L4","",-0.152361844932268,0.023648649,"hLCL","Talkowski et al. 2014","","No"
"504","COPS7B","",-0.146083297340522,0.023770683,"hLCL","Talkowski et al. 2014","","No"
"505","MARK4","",0.280985480911513,0.023786982,"hLCL","Talkowski et al. 2014","","No"
"506","PTPRA","",-0.180435735158625,0.023864959,"hLCL","Talkowski et al. 2014","","No"
"507","ATAD5","",-0.522615549051014,0.023876077,"hLCL","Talkowski et al. 2014","","No"
"508","C20orf4","",0.153185567724086,0.023930814,"hLCL","Talkowski et al. 2014","","No"
"509","CFB","",0.455879988673725,0.023972603,"hLCL","Talkowski et al. 2014","","No"
"510","MCM3","",-0.408180482830145,0.024078979,"hLCL","Talkowski et al. 2014","","No"
"511","KLHDC10","",-0.200965529039091,0.024082569,"hLCL","Talkowski et al. 2014","","No"
"512","TBX6","",-1.23914811092676,0.024264706,"hLCL","Talkowski et al. 2014","","Yes"
"513","MC2R","",-0.502462389252163,0.024277457,"hLCL","Talkowski et al. 2014","","No"
"514","SRRM2","",-0.290239561621824,0.024281765,"hLCL","Talkowski et al. 2014","","No"
"515","SLTM","",-0.26219125101231,0.024390244,"hLCL","Talkowski et al. 2014","","No"
"516","ZNF37A","",-0.393717516665063,0.024399082,"hLCL","Talkowski et al. 2014","","No"
"517","IPO4","",-0.398432286997382,0.024545901,"hLCL","Talkowski et al. 2014","","No"
"518","EFCAB7","",-0.287826256921334,0.024662577,"hLCL","Talkowski et al. 2014","","No"
"519","SREK1","",-0.236068503092643,0.024676851,"hLCL","Talkowski et al. 2014","","No"
"520","FAM208A","",-0.400267649598025,0.024718284,"hLCL","Talkowski et al. 2014","","No"
"521","UHRF1","",-0.532981278013184,0.024781516,"hLCL","Talkowski et al. 2014","","No"
"522","TSSK3","",0.832590115440487,0.024793388,"hLCL","Talkowski et al. 2014","","No"
"523","PTCD3","",-0.278952611183083,0.024972986,"hLCL","Talkowski et al. 2014","","No"
"524","TMEM9","",0.41689153103356,0.024996891,"hLCL","Talkowski et al. 2014","","No"
"525","CCDC91","",-0.224308866272392,0.025029797,"hLCL","Talkowski et al. 2014","","No"
"526","PPIP5K2","",-0.384218506040751,0.025087868,"hLCL","Talkowski et al. 2014","","No"
"527","TRIP13","",-0.488654773658862,0.025114155,"hLCL","Talkowski et al. 2014","","No"
"528","QPRT","",-0.856360240445655,0.025194036,"hLCL","Talkowski et al. 2014","","Yes"
"529","DDX42","",-0.149673877675256,0.025238498,"hLCL","Talkowski et al. 2014","","No"
"530","SMN1","",-0.438417431986738,0.025297981,"hLCL","Talkowski et al. 2014","","No"
"531","C5orf43","",-0.210922781299762,0.02529893,"hLCL","Talkowski et al. 2014","","No"
"532","SCRN3","",-0.297731920709711,0.025373866,"hLCL","Talkowski et al. 2014","","No"
"533","FASTKD1","",-0.33989634121268,0.025503188,"hLCL","Talkowski et al. 2014","","No"
"534","MKI67","",-0.393110352786672,0.025546094,"hLCL","Talkowski et al. 2014","","No"
"535","ASPM","",-0.506077348619937,0.025618375,"hLCL","Talkowski et al. 2014","","No"
"536","CBX5","",-0.304649900705363,0.025669782,"hLCL","Talkowski et al. 2014","","No"
"537","IFRD2","",-0.274571651073062,0.025703794,"hLCL","Talkowski et al. 2014","","No"
"538","KAT2A","",-0.404152786016559,0.025751073,"hLCL","Talkowski et al. 2014","","No"
"539","SZT2","",-0.244286626995267,0.025777668,"hLCL","Talkowski et al. 2014","","No"
"540","SPTSSA","",-0.30511067023542,0.025779524,"hLCL","Talkowski et al. 2014","","No"
"541","TAF1A","",-0.338490571451176,0.025781542,"hLCL","Talkowski et al. 2014","","No"
"542","DTL","",-0.495266828080567,0.025915209,"hLCL","Talkowski et al. 2014","","No"
"543","FUBP3","",-0.285901687166761,0.026061897,"hLCL","Talkowski et al. 2014","","No"
"544","PHF6","",-0.424940288933323,0.026072649,"hLCL","Talkowski et al. 2014","","No"
"545","AMMECR1","",-0.501602382357587,0.026088063,"hLCL","Talkowski et al. 2014","","No"
"546","NBEAL2","",-0.402913802711749,0.026096682,"hLCL","Talkowski et al. 2014","","No"
"547","BDH1","",-0.33675738357625,0.026119403,"hLCL","Talkowski et al. 2014","","No"
"548","MSH3","",-0.263727364197734,0.026412233,"hLCL","Talkowski et al. 2014","","No"
"549","LOC646214","",-0.363076776488662,0.026552029,"hLCL","Talkowski et al. 2014","","No"
"550","TAGLN2","",0.252817771186942,0.026556659,"hLCL","Talkowski et al. 2014","","No"
"551","TARDBP","",-0.224580307337013,0.026649746,"hLCL","Talkowski et al. 2014","","No"
"552","CPT1B","",-0.605145953260528,0.026663215,"hLCL","Talkowski et al. 2014","","No"
"553","MLL2","",-0.265432967246719,0.026710098,"hLCL","Talkowski et al. 2014","","No"
"554","MLL","",-0.367419624652138,0.026760197,"hLCL","Talkowski et al. 2014","","No"
"555","RNF123","",-0.214392694026188,0.026806229,"hLCL","Talkowski et al. 2014","","No"
"556","LRTOMT","",-0.259937012215865,0.02688172,"hLCL","Talkowski et al. 2014","","No"
"557","LOC338739","",-0.391938692911363,0.026957638,"hLCL","Talkowski et al. 2014","","No"
"558","LRRC45","",-0.412245481182726,0.026968024,"hLCL","Talkowski et al. 2014","","No"
"559","SLC9A3R2","",1.19981884957582,0.027069853,"hLCL","Talkowski et al. 2014","","No"
"560","POLG2","",-0.309543685151548,0.027166882,"hLCL","Talkowski et al. 2014","","No"
"561","CENPK","",-0.517191092978185,0.027212647,"hLCL","Talkowski et al. 2014","","No"
"562","LOC100170939","",-0.567209872460943,0.027281155,"hLCL","Talkowski et al. 2014","","No"
"563","LIMS1","",-0.421280121828334,0.027490509,"hLCL","Talkowski et al. 2014","","No"
"564","HEATR1","",-0.304182103105808,0.027519329,"hLCL","Talkowski et al. 2014","","No"
"565","TUG1","",-0.294045606146815,0.027556969,"hLCL","Talkowski et al. 2014","","No"
"566","FKBP15","",-0.324767136579004,0.027608983,"hLCL","Talkowski et al. 2014","","No"
"567","ZNF280C","",-0.296370920603339,0.027667984,"hLCL","Talkowski et al. 2014","","No"
"568","RN45S","",0.915899658194456,0.027704485,"hLCL","Talkowski et al. 2014","","No"
"569","CHD9","",-0.282274480574503,0.027737419,"hLCL","Talkowski et al. 2014","","No"
"570","POLA2","",-0.376473371558207,0.027777778,"hLCL","Talkowski et al. 2014","","No"
"571","ATAD2","",-0.470305912288197,0.027830062,"hLCL","Talkowski et al. 2014","","No"
"572","ZCCHC8","",-0.219502855805323,0.027920151,"hLCL","Talkowski et al. 2014","","No"
"573","LOC100507547","",0.78362886897102,0.02796644,"hLCL","Talkowski et al. 2014","","No"
"574","PGBD1","",0.447212547267681,0.028201322,"hLCL","Talkowski et al. 2014","","No"
"575","ADD3","",-0.550771760143986,0.028203062,"hLCL","Talkowski et al. 2014","","No"
"576","C15orf41","",-0.407998560074894,0.028443722,"hLCL","Talkowski et al. 2014","","No"
"577","STXBP4","",-0.435477730104716,0.028480575,"hLCL","Talkowski et al. 2014","","No"
"578","MCM10","",-0.517118843473593,0.028552005,"hLCL","Talkowski et al. 2014","","No"
"579","ELAVL1","",-0.263415397453356,0.028571429,"hLCL","Talkowski et al. 2014","","No"
"580","CHRM4","",0.87215838185329,0.028649386,"hLCL","Talkowski et al. 2014","","No"
"581","C16orf54","",-1.13938119912296,0.028754886,"hLCL","Talkowski et al. 2014","","Yes"
"582","IPO8","",-0.275772913357712,0.028901734,"hLCL","Talkowski et al. 2014","","No"
"583","HCG25","",-0.594898435942553,0.02892562,"hLCL","Talkowski et al. 2014","","No"
"584","DIP2A","",-0.458531838996183,0.02901354,"hLCL","Talkowski et al. 2014","","No"
"585","SCFD2","",-0.335430729772775,0.029370629,"hLCL","Talkowski et al. 2014","","No"
"586","PPP1R12B","",-0.39324593896632,0.029390681,"hLCL","Talkowski et al. 2014","","No"
"587","SETD5","",-0.292970648317777,0.029415885,"hLCL","Talkowski et al. 2014","","No"
"588","ATP5S","",0.26002178146168,0.029512404,"hLCL","Talkowski et al. 2014","","No"
"589","MND1","",-0.456522894003408,0.029535865,"hLCL","Talkowski et al. 2014","","No"
"590","RALGAPA1","",-0.283767893684066,0.029581631,"hLCL","Talkowski et al. 2014","","No"
"591","CENPI","",-0.582788648256366,0.029602481,"hLCL","Talkowski et al. 2014","","No"
"592","C5orf54","",-0.687736288376802,0.029745042,"hLCL","Talkowski et al. 2014","","No"
"593","NUSAP1","",-0.38057365985361,0.029766123,"hLCL","Talkowski et al. 2014","","No"
"594","CBX3","",-0.232854779606292,0.029767839,"hLCL","Talkowski et al. 2014","","No"
"595","ELMOD3","",-0.258034973596757,0.029803697,"hLCL","Talkowski et al. 2014","","No"
"596","TOP1P1","",-0.440661822051321,0.029833783,"hLCL","Talkowski et al. 2014","","No"
