"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"1596","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1597","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1598","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1599","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1600","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1601","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1602","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1603","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1604","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1605","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1606","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1607","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1608","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1609","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1610","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1611","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1612","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1613","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1614","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1615","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1616","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1617","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1618","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1619","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1620","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1621","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1622","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1623","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1624","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1625","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1626","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1627","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1628","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1629","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1630","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1631","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1632","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1633","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1634","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1635","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1636","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1637","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1638","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1639","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1640","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1641","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1642","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1643","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1644","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1645","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1646","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1647","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1648","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1649","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1650","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1651","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1652","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1653","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1654","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1655","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1656","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1657","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1658","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1659","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1660","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1661","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1662","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1663","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1664","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1665","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1666","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1667","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1668","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1669","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1670","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1671","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1672","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1673","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1674","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1675","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1676","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1677","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1678","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1679","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1680","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1681","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1682","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1683","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1684","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1685","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1686","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1687","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1688","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1689","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1690","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1691","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1692","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1693","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1694","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1695","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1696","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1697","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1698","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1699","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1700","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1701","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1702","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1703","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1704","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1705","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1706","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1707","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1708","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1709","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1710","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1711","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1712","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1713","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1714","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1715","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1716","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1717","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1718","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1719","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1720","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1721","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1722","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1723","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1724","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1725","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1726","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1727","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1728","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1729","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1730","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1731","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1732","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1733","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1734","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1735","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1736","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1737","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1738","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1739","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1740","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1741","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1742","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1743","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1744","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1745","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1746","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1747","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1748","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1749","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1750","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1751","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1752","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1753","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1754","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1755","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1756","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1757","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1758","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1759","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1760","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1761","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1762","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1763","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1764","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1765","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1766","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1767","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1768","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1769","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1770","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1771","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1772","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1773","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1774","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1775","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1776","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1777","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1778","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1779","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1780","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1781","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1782","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1783","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1784","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1785","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1786","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1787","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1788","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1789","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1790","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1791","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1792","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1793","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1794","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1795","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1796","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1797","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1798","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1799","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1800","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1801","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1802","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1803","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1804","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1805","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1806","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1807","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1808","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1809","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1810","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1811","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1812","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1813","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1814","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1815","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1816","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1817","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1818","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1819","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1820","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1821","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1822","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1823","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1824","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1825","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1826","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1827","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1828","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1829","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1830","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1831","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1832","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1833","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1834","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1835","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1836","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1837","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1838","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1839","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1840","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1841","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1842","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1843","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1844","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1845","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1846","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1847","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1848","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1849","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1850","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1851","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1852","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1853","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1854","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1855","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1856","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1857","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1858","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1859","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1860","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1861","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1862","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1863","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1864","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1865","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1866","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1867","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1868","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1869","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1870","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1871","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1872","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1873","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1874","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1875","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1876","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1877","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1878","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1879","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1880","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1881","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1882","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1883","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1884","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1885","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1886","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1887","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1888","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1889","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1890","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1891","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1892","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1893","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1894","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1895","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1896","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1897","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1898","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1899","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1900","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1901","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1902","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1903","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1904","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1905","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1906","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1907","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1908","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1909","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1910","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1911","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1912","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1913","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1914","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1915","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1916","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1917","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1918","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1919","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1920","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1921","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1922","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1923","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1924","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1925","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1926","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1927","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1928","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1929","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1930","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1931","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1932","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1933","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1934","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1935","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1936","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1937","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1938","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1939","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1940","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1941","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1942","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1943","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1944","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1945","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1946","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1947","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1948","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1949","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1950","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1951","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1952","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1953","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1954","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1955","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1956","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1957","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1958","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1959","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1960","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1961","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1962","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1963","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1964","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1965","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1966","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1967","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1968","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1969","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1970","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1971","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1972","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1973","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1974","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1975","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1976","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1977","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1978","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1979","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1980","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1981","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1982","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1983","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1984","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1985","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1986","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1987","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1988","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1989","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1990","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1991","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1992","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1993","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1994","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1995","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1996","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1997","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1998","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"1999","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"2000","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"2001","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"2002","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"2003","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
"2004","","",NA,NA,"hLCL","Talkowski et al. 2014","","No"
