"","region","gene_symbol","expression","in_16p_region"
"94","ctx-lh-caudalanteriorcingulate","GABRE",0.491487835175186,"No"
"95","ctx-lh-caudalanteriorcingulate","GRM7",0.234048003508002,"No"
"96","ctx-lh-caudalanteriorcingulate","GTF2I",0.540201580708166,"No"
"97","ctx-lh-caudalanteriorcingulate","HLA-C",0.694730829659107,"No"
"98","ctx-lh-caudalanteriorcingulate","KIF22",0.540570253504288,"Yes"
"99","ctx-lh-caudalanteriorcingulate","LGALS1",0.55769844458562,"No"
"100","ctx-lh-caudalanteriorcingulate","MAPT",0.525209706479078,"No"
"101","ctx-lh-caudalanteriorcingulate","MAZ",0.569493442990338,"Yes"
"102","ctx-lh-caudalanteriorcingulate","TONSL",0.504346489778848,"No"
"103","ctx-lh-caudalanteriorcingulate","OAS3",0.639789595346885,"No"
"104","ctx-lh-caudalanteriorcingulate","PPP4C",0.562925426830058,"Yes"
"105","ctx-lh-caudalanteriorcingulate","MAPK3",0.712352286951388,"Yes"
"106","ctx-lh-caudalanteriorcingulate","PRNP",0.458567718514534,"No"
"107","ctx-lh-caudalanteriorcingulate","RAF1",0.353906585340772,"No"
"108","ctx-lh-caudalanteriorcingulate","RGS3",0.625165678944113,"No"
"109","ctx-lh-caudalanteriorcingulate","ZNF229",0.60691394593259,"No"
"110","ctx-lh-caudalanteriorcingulate","RBM10",0.424959942504943,"No"
"111","ctx-lh-caudalanteriorcingulate","DOC2A",0.447002122344678,"Yes"
"112","ctx-lh-caudalanteriorcingulate","HIRIP3",0.451579727656855,"Yes"
"113","ctx-lh-caudalanteriorcingulate","JRK",0.46203182789134,"No"
"114","ctx-lh-caudalanteriorcingulate","CPNE1",0.347318375976176,"No"
"115","ctx-lh-caudalanteriorcingulate","SEMA5A",0.920860801886584,"No"
"116","ctx-lh-caudalanteriorcingulate","TAOK2",0.596237898966829,"Yes"
"117","ctx-lh-caudalanteriorcingulate","GDF15",0.380406677161469,"No"
"118","ctx-lh-caudalanteriorcingulate","PLEKHM1",0.527937254548043,"No"
"119","ctx-lh-caudalanteriorcingulate","HS3ST4",0.596822420491753,"No"
"120","ctx-lh-caudalanteriorcingulate","MVP",0.582137013908115,"Yes"
"121","ctx-lh-caudalanteriorcingulate","GPC6",0.769969554020162,"No"
"122","ctx-lh-caudalanteriorcingulate","CDIPT",0.33017950312408,"Yes"
"123","ctx-lh-caudalanteriorcingulate","UNC13B",0.138933648982014,"No"
"124","ctx-lh-caudalanteriorcingulate","RFPL3",0.177153185544632,"No"
"125","ctx-lh-caudalanteriorcingulate","CORO1A",0.415679862792519,"Yes"
"126","ctx-lh-caudalanteriorcingulate","TBC1D9B",0.569540283573139,"No"
"127","ctx-lh-caudalanteriorcingulate","QPRT",0.667773113037186,"Yes"
"128","ctx-lh-caudalanteriorcingulate","SEZ6L2",0.192001115246584,"Yes"
"129","ctx-lh-caudalanteriorcingulate","PILRA",0.301435676301398,"No"
"130","ctx-lh-caudalanteriorcingulate","TMBIM4",0.588323323550533,"No"
"131","ctx-lh-caudalanteriorcingulate","WWOX",0.606403503219197,"No"
"132","ctx-lh-caudalanteriorcingulate","PNPO",0.389288760719728,"No"
"133","ctx-lh-caudalanteriorcingulate","PPP6R3",0.424694711180841,"No"
"134","ctx-lh-caudalanteriorcingulate","CCDC91",0.462092522156562,"No"
"135","ctx-lh-caudalanteriorcingulate","AARS2",0.466408207278387,"No"
"136","ctx-lh-caudalanteriorcingulate","TMEM8A",0.574321002216905,"No"
"137","ctx-lh-caudalanteriorcingulate","GPATCH3",0.293199062866266,"No"
"138","ctx-lh-caudalanteriorcingulate","ZDHHC6",0.453736607694552,"No"
"139","ctx-lh-caudalanteriorcingulate","TRAK2",0.525960353753868,"No"
"140","ctx-lh-caudalanteriorcingulate","GDPD3",0.425227721133072,"Yes"
"141","ctx-lh-caudalanteriorcingulate","PAGR1",0.520494686143314,"No"
