region,gene_symbol,AHBA_expression,in_16p_region,Model,Estimate,Std. Error,t_value,Pr(>|t|),Significance,SigPos,adjusted_p
ctx-lh-bankssts,ALDOA,0.47857084482966544,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,SFN,0.3575321900366774,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,KIF22,0.5485128395745312,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,MAZ,0.4177023498769522,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PPP4C,0.3145065678848757,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,MAPK3,0.44823364391354753,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,MAP4K2,0.45862744382909426,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,RPL12,0.3759675781097174,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TAOK2,0.38002212639360594,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,CDIPT,0.4905711240682271,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,FTCD,0.5609959655485052,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,DNAH1,0.520501439520322,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,LGALS14,0.39707969555381023,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,CARNS1,0.525087476223921,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PAGR1,0.5808312138199961,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TRAF3IP3,0.42324221572248055,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PMFBP1,0.4433588254766298,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,OR6W1P,0.5043143635198829,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TMEM219,0.5048683431661583,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,ACTL10,0.43670052939373094,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,RHOV,0.42419884308222067,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,INO80E,0.45794603267732825,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-caudalanteriorcingulate,ALDOA,0.4764425457228479,Yes,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,SFN,0.5576942362446399,No,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,KIF22,0.5405702535042881,Yes,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,MAZ,0.5694934429903381,Yes,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,PPP4C,0.5629254268300581,Yes,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,MAPK3,0.712352286951388,Yes,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,MAP4K2,0.32982539954361473,No,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,RPL12,0.7793486775937681,No,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
ctx-lh-caudalanteriorcingulate,TAOK2,0.5962378989668288,Yes,model3,-0.281567822,0.13373927010683032,-2.105348879,0.03686284218861836,*,-0.515307093,0.091707559
