region,gene_symbol,AHBA_expression,in_16p_region,Model,Estimate,Std. Error,t_value,Pr(>|t|),Significance,SigPos,adjusted_p
ctx-lh-bankssts,ALDOA,0.47857084482966544,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,EDN3,0.45938170037782045,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,GABRE,0.574074269070694,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,GRM7,0.5594905014813272,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,KIF22,0.5485128395745312,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,MAZ,0.4177023498769522,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,OAS3,0.4144929605364159,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PPP4C,0.3145065678848757,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,MAPK3,0.44823364391354753,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,DOC2A,0.6179622974249386,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,HIRIP3,0.5627628608563685,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TAOK2,0.38002212639360594,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,MVP,0.43785231184325907,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,CDIPT,0.4905711240682271,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,RFPL3,0.5930619942279802,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,CORO1A,0.4605329812396502,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,QPRT,0.4941682074980803,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,SEZ6L2,0.5300763261251943,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PAGR1,0.5808312138199961,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PLVAP,0.3929305988209255,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,YPEL3,0.4635769200466022,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,FAM57B,0.3828502632859795,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,DDX60L,0.44715695268216493,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,PRRT2,0.6205636810495079,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TMEM219,0.5048683431661583,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TEKT4,0.5431698372890329,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,FAM122B,0.5213455969372215,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,CALML6,0.40888737034568895,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,KCTD13,0.44003025014383745,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,TAS2R31,0.5321741280202159,No,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
ctx-lh-bankssts,INO80E,0.45794603267732825,Yes,model3,0.28880410215051244,0.17243285778567277,1.6748785925098135,0.095961535,NA,0.5612369599361852,0.18584955488291827
