"","gene_symbol","region","expression"
"91","ANTXR2","ctx-rh-temporalpole",3.73019199075563
"92","ANTXR2","ctx-lh-superiorparietal",4.03045938286553
"93","ANTXR2","ctx-lh-parsorbitalis",3.94340398478786
"94","ANTXR2","ctx-rh-caudalmiddlefrontal",3.74461197200336
"95","ANTXR2","ctx-rh-entorhinal",3.8030602251586
"96","ANTXR2","ctx-lh-fusiform",3.88494267356582
"97","ANTXR2","ctx-rh-pericalcarine",4.63361742886373
"98","ANTXR2","ctx-rh-caudalanteriorcingulate",3.71156334884743
"99","ANTXR2","ctx-rh-frontalpole",3.82555067274483
"100","ANTXR2","ctx-rh-parstriangularis",3.69503584770144
"101","ANTXR2","ctx-rh-postcentral",3.97669428076625
"102","ANTXR2","ctx-rh-rostralanteriorcingulate",3.64131393712399
"103","ANTXR2","ctx-lh-superiorfrontal",3.84699340001387
"104","ANTXR2","ctx-lh-rostralanteriorcingulate",3.70069236036519
"105","ANTXR2","ctx-lh-precentral",3.97250842302809
"106","ANTXR2","ctx-lh-cuneus",4.1454305901564
"107","ANTXR2","ctx-rh-posteriorcingulate",3.70991403154499
"108","ANTXR2","ctx-lh-parsopercularis",3.79718617205599
"109","ANTXR2","ctx-lh-insula",4.05364664230411
"110","ANTXR2","ctx-rh-transversetemporal",4.35354105652699
"111","ANTXR2","ctx-rh-superiorfrontal",3.72368782379721
"112","ANTXR2","ctx-rh-parsorbitalis",3.8357569911861
"113","ANTXR2","ctx-lh-transversetemporal",4.29133797219397
"114","ANTXR2","ctx-rh-cuneus",4.3649166939376
"115","ANTXR2","ctx-lh-inferiorparietal",3.85131488235291
"116","ANTXR2","ctx-lh-pericalcarine",4.67493870393388
"117","ANTXR2","ctx-lh-postcentral",4.09076771390606
"118","ANTXR2","ctx-lh-supramarginal",3.9577279413135
"119","ANTXR2","ctx-rh-fusiform",3.70391287170789
"120","ANTXR2","ctx-lh-rostralmiddlefrontal",3.85699558450599
"121","ANTXR2","ctx-rh-middletemporal",3.73248848666326
"122","ANTXR2","ctx-lh-frontalpole",3.84506016177847
"123","ANTXR2","ctx-lh-lingual",4.11536584644815
"124","ANTXR2","ctx-lh-lateralorbitofrontal",3.80956644509224
"125","ANTXR2","ctx-lh-bankssts",4.14127315271451
"126","ANTXR2","ctx-rh-inferiorparietal",3.62670767802239
"127","ANTXR2","ctx-lh-caudalanteriorcingulate",3.74593948866673
"128","ANTXR2","ctx-lh-lateraloccipital",3.77843533719787
"129","ANTXR2","ctx-lh-posteriorcingulate",3.90910497287932
"130","ANTXR2","ctx-rh-rostralmiddlefrontal",3.7781695780007
"131","ANTXR2","ctx-lh-parstriangularis",3.54572539529181
"132","ANTXR2","ctx-lh-middletemporal",3.80477841403718
"133","ANTXR2","ctx-rh-bankssts",3.88840902222881
"134","ANTXR2","ctx-lh-caudalmiddlefrontal",3.85006429458013
"135","ANTXR2","ctx-lh-temporalpole",3.7487872693729
"136","ANTXR2","ctx-rh-paracentral",3.64623650686671
"137","MAPT","ctx-rh-insula",8.41695876835159
"138","MAPT","ctx-lh-paracentral",8.39366584863881
"139","MAPT","ctx-rh-precuneus",8.4759053133081
"140","MAPT","ctx-lh-medialorbitofrontal",8.46840795155715
"141","MAPT","ctx-rh-inferiortemporal",8.36661271569632
"142","MAPT","ctx-rh-medialorbitofrontal",8.28068076638392
"143","MAPT","ctx-rh-precentral",8.2590836340658
"144","MAPT","ctx-rh-lateralorbitofrontal",8.15536296250341
"145","MAPT","ctx-rh-parahippocampal",8.40757576472996
"146","MAPT","ctx-lh-superiortemporal",8.53602311807355
"147","MAPT","ctx-lh-parahippocampal",8.53208897303835
"148","MAPT","ctx-rh-superiorparietal",8.21664465418973
"149","MAPT","ctx-lh-precuneus",8.58287015035993
"150","MAPT","ctx-lh-inferiortemporal",8.66245030867133
"151","MAPT","ctx-rh-supramarginal",8.53930497064707
"152","MAPT","ctx-rh-parsopercularis",8.56903638462336
"153","MAPT","ctx-rh-lingual",8.54496747694266
"154","MAPT","ctx-lh-isthmuscingulate",8.62605323056005
"155","MAPT","ctx-rh-isthmuscingulate",8.20047962592934
"156","MAPT","ctx-rh-lateraloccipital",8.23643275584362
"157","MAPT","ctx-rh-superiortemporal",8.37346579832457
"158","MAPT","ctx-lh-entorhinal",8.49384396988019
"159","MAPT","ctx-rh-temporalpole",8.4941734713973
"160","MAPT","ctx-lh-superiorparietal",8.73606375056665
"161","MAPT","ctx-lh-parsorbitalis",8.78452895462132
"162","MAPT","ctx-rh-caudalmiddlefrontal",8.39087745362465
"163","MAPT","ctx-rh-entorhinal",8.39939366627891
"164","MAPT","ctx-lh-fusiform",8.63208348740424
